file,reverberation-time
wav/st_margarets_church_national_centre_early_music__b-format__r25_3rd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r26_1st_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r21_2nd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r17_1st_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r8_2nd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r4_1st_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r3_2nd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r7_3rd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r12_1st_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r24_2nd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r22_2nd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r3_3rd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r6_3rd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r15_1st_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r1_2nd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r18_3rd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r16_1st_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r13_3rd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r15_2nd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r20_3rd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r26_2nd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r2_2nd_configuration.wav,1.49
wav/genesis_6_studio_live_room_drum_set__b-format__crash_ir.wav,0.21
wav/genesis_6_studio_live_room_drum_set__b-format__hh_ir.wav,0.21
wav/genesis_6_studio_live_room_drum_set__b-format__snare_ir.wav,0.21
wav/genesis_6_studio_live_room_drum_set__b-format__kick_ir.wav,0.21
wav/genesis_6_studio_live_room_drum_set__b-format__tomb_ir.wav,0.21
wav/genesis_6_studio_live_room_drum_set__b-format__toma_ir.wav,0.21
wav/genesis_6_studio_live_room_drum_set__b-format__ride_ir.wav,0.21
wav/genesis_6_studio_live_room_drum_set__b-format__tomc_ir.wav,0.21
wav/newgrange__b-format__newgrange_s1r1_2.wav,0.25
wav/newgrange__b-format__newgrange_s1r5.wav,0.25
wav/newgrange__b-format__newgrange_s4r2.wav,0.25
wav/newgrange__b-format__newgrange_s1r6.wav,0.25
wav/newgrange__b-format__newgrange_s4r1.wav,0.25
wav/newgrange__b-format__newgrange_s1r4.wav,0.25
wav/newgrange__b-format__newgrange_s1r1.wav,0.25
wav/newgrange__b-format__newgrange_s2r1.wav,0.25
wav/newgrange__b-format__newgrange_s1r3.wav,0.25
wav/newgrange__b-format__newgrange_s1r2.wav,0.25
wav/newgrange__b-format__newgrange_s3r1.wav,0.25
wav/newgrange__b-format__newgrange_s6r1.wav,0.25
wav/newgrange__b-format__newgrange_s5r1.wav,0.25
